product_id,category,subcategory,cost,price
P000141,Electronics,Audio,138.14,243.31
P000142,Apparel,Bottoms,123.08,195.51
P000143,Home,Storage,75.08,118.23
P000144,Sports,Outdoor,13.54,20.82
P000145,Home,Decor,65.2,87.36
P000146,Apparel,Bottoms,121.52,176.67
P000147,Apparel,Tops,92.58,160.43
P000148,Home,Decor,57.9,87.71
P000149,Electronics,Audio,133.98,186.82
P000150,Sports,Accessories,71.17,122.07
P000151,Apparel,Outerwear,80.65,104.27
P000152,Home,Decor,34.36,50.19
P000153,Apparel,Tops,18.02,29.01
P000154,Electronics,Mobile,101.57,125.09
P000155,Sports,Accessories,129.64,159.73
P000156,Electronics,Accessories,120.89,152.88
P000157,Sports,Fitness,35.52,52.19
P000158,Home,Decor,10.94,19.57
P000159,Electronics,Accessories,133.11,193.58
P000160,Apparel,Outerwear,59.93,76.27
P000161,Sports,Accessories,138.18,167.58
P000162,Home,Storage,70.53,92.33
P000163,Home,Storage,45.01,62.87
P000164,Apparel,Outerwear,58.46,103.98
P000165,Electronics,Audio,23.1,35.61
P000166,Beauty,Makeup,74.06,123.53
P000167,Electronics,Mobile,70.05,93.41
P000168,Sports,Fitness,46.5,59.75
P000169,Beauty,Makeup,110.53,184.78
P000170,Apparel,Outerwear,54.42,96.8
P000171,Sports,Outdoor,114.68,204.9
P000172,Electronics,Accessories,109.12,183.34
P000173,Home,Storage,130.38,180.17
P000174,Home,Decor,51.42,80.62
P000175,Sports,Fitness,121.68,179.57
P000176,Home,Storage,44.32,73.87
P000177,Beauty,Makeup,88.25,130.6
P000178,Beauty,Skincare,96.45,170.73
P000179,Sports,Fitness,20.08,24.92
P000180,Sports,Accessories,135.45,172.02
P000181,Electronics,Audio,111.71,160.5
P000182,Sports,Accessories,97.66,162.81
P000183,Beauty,Haircare,58.92,74.7
P000184,Apparel,Tops,130.32,198.0
P000185,Home,Kitchen,139.53,181.06
P000186,Beauty,Skincare,29.93,36.72
P000187,Beauty,Makeup,52.63,89.77
P000188,Electronics,Audio,26.84,42.25
P000189,Apparel,Bottoms,116.27,146.11
P000190,Sports,Fitness,76.93,108.68
P000191,Home,Decor,56.1,94.4
P000192,Apparel,Tops,139.62,185.35
P000193,Electronics,Audio,48.14,62.5
P000194,Apparel,Tops,108.23,182.77
P000195,Home,Kitchen,35.01,56.5
P000196,Electronics,Audio,11.81,18.21
P000197,Beauty,Haircare,28.01,45.2
P000198,Sports,Outdoor,121.33,155.23
P000199,Home,Decor,32.15,50.43
P000200,Apparel,Tops,41.14,71.12
P000201,Sports,Accessories,30.22,46.52
P000202,Sports,Outdoor,43.37,67.22
P000203,Home,Storage,121.76,168.85
P000204,Electronics,Audio,113.36,193.37
P000205,Beauty,Haircare,74.12,105.36
P000206,Sports,Outdoor,49.43,68.58
P000207,Apparel,Outerwear,138.04,180.55
P000208,Sports,Accessories,61.08,90.75
P000209,Sports,Accessories,51.06,75.33
P000210,Electronics,Mobile,67.39,108.74
P000211,Apparel,Outerwear,76.33,122.08
P000212,Apparel,Tops,52.8,66.35
P000213,Beauty,Makeup,92.46,125.43
P000214,Electronics,Accessories,11.03,15.6
P000215,Electronics,Audio,70.96,110.1
P000216,Beauty,Haircare,123.99,174.5
P000217,Electronics,Audio,124.78,180.42
P000218,Beauty,Haircare,27.28,39.43
P000219,Sports,Fitness,64.51,115.81
P000220,Electronics,Mobile,105.61,131.92
